STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-17,,,0.08,0.0,0.0,53,39,45,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-18,,,0.01,0.0,0.0,57,44,53,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-19,,,0.00,0.0,0.0,66,38,40,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-20,,,0.00,0.0,0.0,67,38,56,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-21,,,0.00,0.0,0.0,61,25,28,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-22,,,0.00,0.0,0.0,53,26,31,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-23,,,0.00,0.0,0.0,65,30,41,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-24,,,0.00,0.0,0.0,55,39,41,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-25,,,0.00,0.0,0.0,62,39,43,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-26,,,0.00,0.0,0.0,61,29,32,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-27,,,0.00,0.0,0.0,63,32,36,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-28,,,0.00,0.0,0.0,70,36,40,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-29,,,0.00,0.0,0.0,75,39,53,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-30,,,0.00,0.0,0.0,77,53,64,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-31,,,0.00,0.0,0.0,80,51,53,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-01,,,0.16,0.0,0.0,80,36,36,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-02,,,0.00,0.0,0.0,39,21,21,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-03,,,0.00,0.0,0.0,29,21,22,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-04,,,0.02,0.3,0.0,29,22,24,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-05,,,0.00,0.0,0.0,44,23,29,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-06,,,0.00,0.0,0.0,64,29,36,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-07,,,0.00,0.0,0.0,77,36,42,
